id,elec_type_name,volt_name,,contract_cap,run_cap,shift_no,build_date,cancel_date,chk_cycle,last_chk_date,tmp_name,tmp_date
183817867,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183819011,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183819032,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183821932,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183821933,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183822296,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183823191,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183823236,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183823243,城镇居民生活用电,交流380V,居民生活<1kV(合表),24.0,24.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183823699,城镇居民生活用电,交流10kV,居民生活1_10kV(合表),200.0,200.0,1.0,2000-01-01 00:00:00,,12,2021-01-19 00:00:00,非临时用电,
183824028,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183824166,商业用电,交流10kV,居民生活1_10kV(合表),250.0,250.0,4.0,2000-01-01 00:00:00,,12,2021-02-22 00:00:00,非临时用电,
183824411,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
