"   ","ID","ELEC_TYPE_NAME","VOLT_NAME","PRC_NAME","CONTRACT_CAP","RUN_CAP","SHIFT_NO","BUILD_DATE","CANCEL_DATE","CHK_CYCLE","LAST_CHK_DATE","TMP_NAME","TMP_DATE","IS_FLAG"
"1","329465205","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","4.000000","4.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"2","329465245","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","4.000000","4.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"3","329465357","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","8.000000","8.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"4","329465360","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","2.000000","2.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"5","329465439","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","8.000000","8.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"6","329465731","乡村居民生活用电","交流380V","居民合表电价(不满1千伏）","39.000000","39.000000","","2005/6/18","","240","2005/6/18","非临时用电","","0"
"7","329465838","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","2.000000","2.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"8","329465887","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","8.000000","8.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"9","329465893","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","4.000000","4.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"10","329466134","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","4.000000","4.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"11","329466182","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","2.000000","2.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"12","329466189","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","2.000000","2.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"13","329466279","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","4.000000","4.000000","1","2005/6/18","","24","2005/6/18","非临时用电","","0"
"14","329466332","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","4.000000","4.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"15","329466333","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","2.000000","2.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"16","329466447","城镇居民生活用电","交流220V","居民合表电价(不满1千伏）","4.000000","4.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"17","329466612","城镇居民生活用电","交流220V","居民合表电价(不满1千伏）","4.000000","4.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"18","329466639","城镇居民生活用电","交流220V","居民合表电价(不满1千伏）","4.000000","4.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"19","329466769","城镇居民生活用电","交流380V","居民合表电价(不满1千伏）","3.000000","3.000000","1","2005/6/18","","24","2019/6/30","非临时用电","","0"
"20","329466814","城镇居民生活用电","交流220V","居民合表电价(不满1千伏）","8.000000","8.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"21","329466853","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","4.000000","4.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"22","329466859","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","8.000000","8.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"23","329466877","城镇居民生活用电","交流220V","居民合表电价(不满1千伏）","8.000000","8.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"24","329466882","城镇居民生活用电","交流220V","居民合表电价(不满1千伏）","8.000000","8.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"25","329466994","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","2.000000","2.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"26","329467065","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","4.000000","4.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"27","329467117","城镇居民生活用电","交流220V","居民合表电价(不满1千伏）","8.000000","8.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"28","329467200","城镇居民生活用电","交流220V","居民合表电价(不满1千伏）","8.000000","8.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"29","329467301","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","2.000000","2.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"30","329467390","城镇居民生活用电","交流220V","居民合表电价(不满1千伏）","8.000000","8.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"31","329467448","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","2.000000","2.000000","1","2005/7/18","","240","2005/7/18","非临时用电","","0"
"32","329467488","城镇居民生活用电","交流220V","居民合表电价(不满1千伏）","8.000000","8.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"33","329467596","城镇居民生活用电","交流220V","居民合表电价(不满1千伏）","8.000000","8.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"34","329467661","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","8.000000","8.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"35","329467703","城镇居民生活用电","交流220V","居民合表电价(不满1千伏）","2.000000","2.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"36","329467712","城镇居民生活用电","交流220V","居民合表电价(不满1千伏）","4.000000","4.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"37","329467873","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","2.000000","2.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"38","329467876","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","2.000000","2.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
"39","329467914","乡村居民生活用电","交流220V","居民合表电价(不满1千伏）","2.000000","2.000000","1","2005/6/18","","240","2005/6/18","非临时用电","","0"
