id,elec_type_name,volt_name,prc_name,contract_cap,run_cap,shift_no,build_date,cancel_date,chk_cycle,last_chk_date,tmp_name,tmp_date
329833811,城镇居民生活用电,交流380V,居民合表电价(不满1千伏）,50,50,,2008-10-31 08:21:23,,240,2008-10-31 00:00:00,非临时用电,
2294741747,城镇居民生活用电,交流380V,居民合表电价(不满1千伏）,400,400,1,2016-07-13 17:37:32,,12,2021-01-26 00:00:00,非临时用电,
2654985038,城镇居民生活用电,交流380V,居民合表电价(不满1千伏）,300,300,,2018-10-17 08:28:47,,120,2018-10-17 08:28:47,非临时用电,
2674563661,城镇居民生活用电,交流380V,居民合表电价(不满1千伏）,99,99,,2018-11-22 16:45:09,,120,2018-11-22 16:45:09,非临时用电,
2695447713,城镇居民生活用电,交流380V,居民合表电价(不满1千伏）,90,90,,2019-01-10 15:36:24,,120,2019-01-10 15:36:24,非临时用电,
1998335717,城镇居民生活用电,交流380V,居民合表电价(不满1千伏）,30,30,,2014-06-20 09:05:26,,120,2014-06-20 09:05:26,非临时用电,
2482675592,城镇居民生活用电,交流380V,居民合表电价(不满1千伏）,95,95,,2017-10-13 10:49:32,,120,2017-10-13 10:49:32,非临时用电,
2614556942,城镇居民生活用电,交流380V,居民合表电价(不满1千伏）,30,30,,2018-08-16 09:34:42,,120,2018-08-16 09:34:42,非临时用电,
2816697143,城镇居民生活用电,交流380V,居民合表电价(不满1千伏）,400,400,,2019-09-06 18:03:32,,120,2019-09-06 18:03:32,非临时用电,
2825771263,城镇居民生活用电,交流380V,居民合表电价(不满1千伏）,260,260,,2019-09-27 18:09:16,,12,2021-09-14 00:00:00,非临时用电,
